item_id,type,title,description,date_or_deadline,time,person,priority,source_message_id
ITEM_001,event,Dinner,"For today: Calendar update: family dinner, 2026-09-19 at 10:00, the library.",2026-09-19,10:00,,high,MSG_0001
ITEM_002,task,Review,Can you review the privacy checklist before 2026-09-09?,2026-09-09,,,medium,MSG_0002
ITEM_003,event,Catch-Up,FYI: Reminder: mentor catch-up happens on 2026-09-16 at 11:00 in the city clinic.,2026-09-16,11:00,,medium,MSG_0003
ITEM_004,task,Reply,For today: Please reply to the client email by 2026-09-04.,2026-09-04,,,high,MSG_0007
ITEM_005,task,Pay,Can you help? Don't forget to pay the electricity bill; deadline is 2026-09-09.,2026-09-09,,,high,MSG_0010
ITEM_006,event,Conference,"Just checking—Please join the internship orientation on 2026-09-18, 13:00 at Conference Room 2.",2026-09-18,13:00,,medium,MSG_0011
ITEM_007,task,Send,FYI: I will send the login details separately.,,,,medium,MSG_0012
ITEM_008,task,Review,Can you help? I need you to review the model results by 2026-09-03.,2026-09-03,,,medium,MSG_0019
ITEM_009,event,Webinar,One more thing: The webinar recording is now available.,,,,medium,MSG_0021
ITEM_010,event,Meeting,Just checking—I might prefer evening meetings now.,,,,medium,MSG_0024
ITEM_011,event,Interview,Please note: Please confirm the interview slot by 2026-09-05.,2026-09-05,,,medium,MSG_0027
ITEM_012,task,Upload,Important: Don't forget to upload the assignment; deadline is 2026-09-09.,2026-09-09,,,high,MSG_0032
ITEM_013,event,Event,Just checking—The event registration desk opens at 9 AM.,,9:00 AM,,medium,MSG_0033
ITEM_014,event,Conference,"Please note: Please join the internship orientation on 2026-09-18, 9:00 at Conference Room 2.",2026-09-18,,,medium,MSG_0034
ITEM_015,task,Complete,For today: Complete the onboarding form is due on 2026-09-10.,2026-09-10,,,high,MSG_0035
ITEM_016,task,Review,One more thing: The review could be Friday afternoon.,,,,medium,MSG_0037
ITEM_017,event,Meeting,"For today: If possible, review the file before the meeting.",,,,high,MSG_0041
ITEM_018,event,Meeting,For today: The client discussion is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00,,high,MSG_0042
