message_id,category,confidence,reason
MSG_0001,meeting_or_event,0.71,"Detected signals related to meeting or event: calendar, dinner."
MSG_0002,action_required,0.95,Detected signals related to action required: review.
MSG_0003,meeting_or_event,0.55,Detected signals related to meeting or event: catch-up.
MSG_0004,general_information,0.45,No strong category-specific signal was detected.
MSG_0005,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0006,general_information,0.45,No strong category-specific signal was detected.
MSG_0007,action_required,0.95,"Detected signals related to action required: reply, please."
MSG_0008,general_information,0.45,No strong category-specific signal was detected.
MSG_0009,general_information,0.45,No strong category-specific signal was detected.
MSG_0010,action_required,0.95,"Detected signals related to action required: pay, deadline."
MSG_0011,meeting_or_event,0.8,Detected signals related to meeting or event: conference.
MSG_0012,general_information,0.6,Detected signals related to general information: fyi.
MSG_0013,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0014,promotional,0.95,Detected signals related to promotional: discount.
MSG_0015,promotional,0.8,Detected signals related to promotional: sale.
MSG_0016,general_information,0.45,No strong category-specific signal was detected.
MSG_0017,general_information,0.45,No strong category-specific signal was detected.
MSG_0018,general_information,0.45,No strong category-specific signal was detected.
MSG_0019,action_required,0.95,Detected signals related to action required: review.
MSG_0020,promotional,0.95,Detected signals related to promotional: exclusive.
MSG_0021,meeting_or_event,0.95,Detected signals related to meeting or event: webinar.
MSG_0022,general_information,0.45,No strong category-specific signal was detected.
MSG_0023,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0024,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0025,general_information,0.95,Detected signals related to general information: fyi.
MSG_0026,general_information,0.95,Detected signals related to general information: update.
MSG_0027,meeting_or_event,0.62,Detected signals related to meeting or event: interview.
MSG_0028,action_required,0.95,Detected signals related to action required: deadline.
MSG_0029,general_information,0.95,Detected signals related to general information: update.
MSG_0030,general_information,0.95,Detected signals related to general information: fyi.
MSG_0031,general_information,0.95,Detected signals related to general information: update.
MSG_0032,action_required,0.95,"Detected signals related to action required: upload, deadline."
MSG_0033,meeting_or_event,0.95,Detected signals related to meeting or event: event.
MSG_0034,meeting_or_event,0.8,Detected signals related to meeting or event: conference.
MSG_0035,action_required,0.95,"Detected signals related to action required: complete, due."
MSG_0036,action_required,0.7,Detected signals related to action required: please.
MSG_0037,action_required,0.95,Detected signals related to action required: review.
MSG_0038,general_information,0.95,Detected signals related to general information: update.
MSG_0039,general_information,0.45,No strong category-specific signal was detected.
MSG_0040,general_information,0.45,No strong category-specific signal was detected.
MSG_0041,meeting_or_event,0.71,Detected signals related to meeting or event: meeting.
MSG_0042,meeting_or_event,0.95,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0043,meeting_or_event,0.71,"Detected signals related to meeting or event: calendar, dinner."
MSG_0044,action_required,0.95,"Detected signals related to action required: complete, please."
MSG_0045,action_required,0.95,"Detected signals related to action required: complete, due."
MSG_0046,action_required,0.55,Detected signals related to action required: deadline.
MSG_0047,general_information,0.45,No strong category-specific signal was detected.
MSG_0048,general_information,0.45,No strong category-specific signal was detected.
MSG_0049,meeting_or_event,0.95,Detected signals related to meeting or event: scheduled.
MSG_0050,meeting_or_event,0.95,Detected signals related to meeting or event: webinar.
MSG_0051,meeting_or_event,0.83,Detected signals related to meeting or event: appointment.
MSG_0052,general_information,0.95,Detected signals related to general information: update.
MSG_0053,general_information,0.45,No strong category-specific signal was detected.
MSG_0054,action_required,0.95,Detected signals related to action required: review.
MSG_0055,meeting_or_event,0.95,Detected signals related to meeting or event: scheduled.
MSG_0056,meeting_or_event,0.75,Detected signals related to meeting or event: call.
MSG_0057,action_required,0.95,"Detected signals related to action required: send, please."
MSG_0058,action_required,0.55,Detected signals related to action required: review.
MSG_0059,general_information,0.45,No strong category-specific signal was detected.
MSG_0060,action_required,0.71,"Detected signals related to action required: complete, due."
MSG_0061,general_information,0.95,Detected signals related to general information: update.
MSG_0062,meeting_or_event,0.89,"Detected signals related to meeting or event: conference, workshop."
MSG_0063,general_information,0.45,No strong category-specific signal was detected.
MSG_0064,meeting_or_event,0.95,Detected signals related to meeting or event: event.
MSG_0065,action_required,0.95,Detected signals related to action required: deadline.
MSG_0066,meeting_or_event,0.8,"Detected signals related to meeting or event: meeting, scheduled."
MSG_0067,meeting_or_event,0.5,Detected signals related to meeting or event: workshop.
MSG_0068,general_information,0.95,Detected signals related to general information: update.
MSG_0069,general_information,0.45,No strong category-specific signal was detected.
MSG_0070,action_required,0.7,Detected signals related to action required: please.
MSG_0071,general_information,0.95,Detected signals related to general information: update.
MSG_0072,general_information,0.95,Detected signals related to general information: update.
MSG_0073,general_information,0.45,No strong category-specific signal was detected.
MSG_0074,general_information,0.45,No strong category-specific signal was detected.
MSG_0075,general_information,0.45,No strong category-specific signal was detected.
MSG_0076,promotional,0.95,Detected signals related to promotional: exclusive.
MSG_0077,meeting_or_event,0.55,Detected signals related to meeting or event: scheduled.
MSG_0078,general_information,0.45,No strong category-specific signal was detected.
MSG_0079,general_information,0.95,Detected signals related to general information: fyi.
MSG_0080,promotional,0.95,Detected signals related to promotional: sale.
MSG_0081,promotional,0.95,Detected signals related to promotional: exclusive.
MSG_0082,general_information,0.45,No strong category-specific signal was detected.
MSG_0083,general_information,0.45,No strong category-specific signal was detected.
MSG_0084,meeting_or_event,0.95,Detected signals related to meeting or event: meeting.
MSG_0085,promotional,0.6,Detected signals related to promotional: exclusive.
MSG_0086,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0087,general_information,0.95,"Detected signals related to general information: fyi, update."
MSG_0088,general_information,0.45,No strong category-specific signal was detected.
MSG_0089,action_required,0.55,Detected signals related to action required: deadline.
MSG_0090,general_information,0.95,Detected signals related to general information: fyi.
MSG_0091,general_information,0.45,No strong category-specific signal was detected.
MSG_0092,promotional,0.6,Detected signals related to promotional: offer.
MSG_0093,general_information,0.95,Detected signals related to general information: fyi.
MSG_0094,general_information,0.45,No strong category-specific signal was detected.
MSG_0095,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
MSG_0096,meeting_or_event,0.67,Detected signals related to meeting or event: event.
MSG_0097,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0098,action_required,0.55,Detected signals related to action required: review.
MSG_0099,general_information,0.95,Detected signals related to general information: fyi.
MSG_0100,general_information,0.7,Detected signals related to general information: reminder.
MSG_0101,action_required,0.95,Detected signals related to action required: deadline.
MSG_0102,general_information,0.6,Detected signals related to general information: fyi.
MSG_0103,meeting_or_event,0.95,Detected signals related to meeting or event: interview.
MSG_0104,promotional,0.95,Detected signals related to promotional: sale.
MSG_0105,promotional,0.95,Detected signals related to promotional: offer.
MSG_0106,general_information,0.95,Detected signals related to general information: update.
MSG_0107,general_information,0.45,No strong category-specific signal was detected.
MSG_0108,general_information,0.95,Detected signals related to general information: update.
MSG_0109,general_information,0.45,No strong category-specific signal was detected.
MSG_0110,meeting_or_event,0.5,Detected signals related to meeting or event: meeting.
MSG_0111,general_information,0.6,Detected signals related to general information: fyi.
MSG_0112,action_required,0.95,Detected signals related to action required: send.
MSG_0113,action_required,0.6,Detected signals related to action required: due.
MSG_0114,action_required,0.95,"Detected signals related to action required: complete, please."
MSG_0115,action_required,0.55,Detected signals related to action required: deadline.
MSG_0116,general_information,0.95,Detected signals related to general information: update.
MSG_0117,action_required,0.7,Detected signals related to action required: please.
MSG_0118,general_information,0.45,No strong category-specific signal was detected.
MSG_0119,action_required,0.95,"Detected signals related to action required: send, due."
MSG_0120,action_required,0.7,Detected signals related to action required: please.
MSG_0121,meeting_or_event,0.75,Detected signals related to meeting or event: call.
MSG_0122,meeting_or_event,0.8,Detected signals related to meeting or event: catch-up.
MSG_0123,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0124,meeting_or_event,0.67,Detected signals related to meeting or event: catch-up.
MSG_0125,general_information,0.45,No strong category-specific signal was detected.
MSG_0126,general_information,0.45,No strong category-specific signal was detected.
MSG_0127,meeting_or_event,0.56,Detected signals related to meeting or event: appointment.
MSG_0128,general_information,0.45,No strong category-specific signal was detected.
MSG_0129,meeting_or_event,0.55,Detected signals related to meeting or event: calendar.
MSG_0130,sensitive_information,0.98,The message contains potentially sensitive personal or security information.
